;Model;Year
0;SVM;2016
1;KNN,LR,Bagging,RF,SVM;2017
2;SVM;2018
3;GB,RF,SGB,DT,QDA;2019
4;SVM,GBN,KNN,Ensambles;2019
5;AdaBoost,Bagging,NB,DT,EnsembleExtraTree,ExtraTree,GB,KNN,SVM,NN,andRF;2020
6;Abstract Dialectical Framework;2020Â 
7;SVM;2020
8;DT;2004
9;LSTM+CNN;2015
10;RF;2017
11;SVM,RF;2018
12;SVM;2020
13;GRU,LSTM,andBILSTM;2021
14;ANN;2021
15;MLP;2021
16;RoBERTa,RF,MLP,BIGRU-LWAN,Attention XML,APLC\_XLNet,X-Transformer;2021
17;HCNN;2021
18;XG-Boost,ANN,SVM,andRF;2021
19;membership functions;2021
20;JuriBERT;2021
21;CNN,LSTM;2022
22;ANN;2010
23;SVM,ANN;2017
24;SVM,FastText,CNN,;2018
25;CNN;2018
26;likelihood measure;2019
27;KNN;2019
28;SVM,LR,RF,KNN,SLP,MLP;2020
29;SVM,kNN,CART,andNB;2020
30;CNN/LSTM;2020
31;LR,LDA,KNN,RT,GNB,SVM;2020
32;CamemBERT,BiLSTM-CRF;2022
33;Naive Bayes classifier;2017
34;RF;2017
35;CNN,LSTM,RNN;2018
36;SVM,DT,XGBoost,BERT,GRU,LSTM,CNN;2019
37;FlauBERT;2020
38;Transformers,BERT,RobBERT;2021
39;SVM;2021
40;ooBERT,ftBERT,LEGAL-BERT,biLSTM,GRU,LR,SVM;2021
41;adaBoost,decision trees,gradient boosting,random forests,SVM,XGBoost;2021
42;Logistic Regression,SVM,Random Forest,BiGRU,GloVe;2021
43;Markov logic networks;2018
44;TSK fuzzy system;2021
